epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8056,1.88469,4.84214,3.61932,2.3751,0.00319,1,0.70265,0.3527,0.00319,1,0.66604,0.28191,1.10517,3.4284,3.16157,2.01276,0.0001,0.0001,0.0001
2,31.6129,1.11399,2.87979,2.91059,1.8189,0.00319,1,0.80476,0.51946,0.00319,1,0.80476,0.47319,0.92915,2.46491,3.06565,1.8166,0.00019822,0.00019822,0.00019822
3,44.9658,0.99669,1.55445,2.36783,1.61785,0.00319,1,0.89313,0.66961,0.00319,1,0.89313,0.72629,0.69338,1.33916,2.98475,1.38085,0.00027268,0.00027268,0.00027268
4,57.6577,0.69723,1.01085,1.96827,1.28574,0.00319,1,0.86523,0.45812,0.00319,1,0.86523,0.72448,1.05795,1.67402,3.01365,1.89813,0.00032338,0.00032338,0.00032338
5,71.019,0.62251,0.60897,1.83279,1.22656,0.00319,1,0.8047,0.52514,0.00319,1,0.79996,0.70028,0.773,0.94514,2.90401,1.42631,0.00035032,0.00035032,0.00035032
6,83.6675,0.60646,0.55699,1.63447,1.11791,0.00319,1,0.63875,0.48819,0.00319,1,0.70241,0.57818,0.61962,0.80043,2.88313,1.2817,0.0003535,0.0003535,0.0003535
7,96.9544,0.55482,0.48966,1.65418,1.15749,0.00813,1,0.90773,0.68725,0.00813,1,0.92771,0.82447,0.63637,0.73122,2.7496,1.25986,0.00033292,0.00033292,0.00033292
8,109.671,0.48108,0.47227,1.50516,0.99868,0.00813,1,0.90773,0.68725,0.00813,1,0.92771,0.82447,0.63637,0.73122,2.7496,1.25986,0.00028858,0.00028858,0.00028858
9,122.385,0.45453,0.44233,1.48711,1.08105,1,0.23659,0.98201,0.8096,1,0.23659,0.98201,0.91786,0.59619,0.60293,2.55942,1.19786,0.00022048,0.00022048,0.00022048
10,135.912,0.44611,0.38455,1.41798,0.99285,0.96834,0.91304,0.99167,0.85671,0.96834,0.91304,0.99167,0.94122,0.55894,0.55007,2.35575,1.14351,0.00012862,0.00012862,0.00012862
