epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7449,2.3712,3.44038,1.41083,0.0265,0.26649,0.03377,0.01107,2.50137,3.72143,1.67429,1.25e-05,1.25e-05,1.25e-05
2,34.2738,2.12108,3.23759,1.35579,0.03088,0.30382,0.04678,0.01788,2.28391,3.46566,1.54452,3.02187e-05,3.02187e-05,3.02187e-05
3,48.0791,2.12337,2.87051,1.28229,0.05139,0.10156,0.05805,0.02795,2.09628,3.14277,1.43338,4.67e-05,4.67e-05,4.67e-05
4,61.5904,1.97095,2.63409,1.29362,0.06907,0.12949,0.07947,0.0405,2.0136,2.79286,1.39305,6.19438e-05,6.19438e-05,6.19438e-05
5,75.261,1.84089,2.39995,1.27611,0.07774,0.22917,0.11265,0.05594,1.9636,2.51991,1.38918,7.595e-05,7.595e-05,7.595e-05
6,88.7672,1.69836,2.07938,1.18149,0.11899,0.25689,0.14483,0.07068,1.94885,2.45219,1.39506,8.87188e-05,8.87188e-05,8.87188e-05
7,102.968,1.80021,2.10042,1.17889,0.12414,0.33326,0.17499,0.0888,1.90556,2.37165,1.36607,0.00010025,0.00010025,0.00010025
8,117.925,1.72176,1.9407,1.16692,0.14342,0.34947,0.19706,0.10082,1.87384,2.29512,1.33586,0.000110544,0.000110544,0.000110544
9,132.533,1.6594,1.81945,1.18923,0.19003,0.33192,0.22779,0.11692,1.83156,2.17217,1.28945,0.0001196,0.0001196,0.0001196
10,147.053,1.60728,1.70036,1.15192,0.21122,0.32552,0.24209,0.13047,1.82135,2.10681,1.27607,0.000127419,0.000127419,0.000127419
11,161.21,1.57314,1.64672,1.07433,0.22772,0.41574,0.26817,0.14322,1.79786,2.01827,1.25712,0.000134,0.000134,0.000134
12,174.809,1.48557,1.52815,1.09129,0.25165,0.41469,0.29026,0.1561,1.76804,2.00146,1.24757,0.000139344,0.000139344,0.000139344
13,188.456,1.47885,1.51805,1.09592,0.33822,0.36568,0.33065,0.1771,1.71658,2.03949,1.22841,0.00014345,0.00014345,0.00014345
14,203.685,1.47654,1.41201,1.05774,0.30824,0.43488,0.34353,0.18615,1.69895,2.05838,1.21948,0.000146319,0.000146319,0.000146319
15,218.722,1.50635,1.4078,1.04954,0.36199,0.45481,0.36631,0.19911,1.68377,2.07294,1.20796,0.00014795,0.00014795,0.00014795
16,232.87,1.45681,1.28521,1.0521,0.38862,0.48553,0.38216,0.21008,1.67589,2.03438,1.20266,0.000148344,0.000148344,0.000148344
17,246.85,1.48364,1.31821,1.02733,0.42934,0.50557,0.42102,0.23938,1.62874,1.86462,1.18239,0.0001475,0.0001475,0.0001475
18,261.131,1.52077,1.42342,1.06992,0.48536,0.46769,0.45336,0.2579,1.60123,1.75117,1.17526,0.000145419,0.000145419,0.000145419
19,275.055,1.46233,1.25934,1.05946,0.49764,0.48397,0.47548,0.27009,1.58739,1.6498,1.17316,0.0001421,0.0001421,0.0001421
20,288.555,1.45559,1.23779,1.02004,0.47186,0.51014,0.48731,0.27695,1.58291,1.5621,1.17138,0.000137544,0.000137544,0.000137544
21,300.965,1.38351,1.28678,1.07695,0.46041,0.54059,0.48331,0.27816,1.58324,1.52963,1.17196,0.00013175,0.00013175,0.00013175
22,313.338,1.34022,1.2168,1.05096,0.46382,0.54819,0.48638,0.27785,1.58828,1.50612,1.17461,0.000124719,0.000124719,0.000124719
23,325.817,1.37141,1.18531,1.05132,0.38624,0.69555,0.49432,0.28398,1.59435,1.49067,1.17705,0.00011645,0.00011645,0.00011645
24,338.2,1.39225,1.23761,1.04747,0.4161,0.66842,0.49816,0.28316,1.59814,1.48097,1.17886,0.000106944,0.000106944,0.000106944
25,350.496,1.41179,1.26491,1.04918,0.44231,0.60105,0.49302,0.27948,1.59698,1.46344,1.17942,9.62e-05,9.62e-05,9.62e-05
26,362.992,1.38363,1.20108,1.05095,0.4544,0.58648,0.49455,0.28193,1.58792,1.44019,1.17592,8.42187e-05,8.42187e-05,8.42187e-05
27,375.362,1.37526,1.14757,1.02546,0.43611,0.59642,0.50181,0.28739,1.58414,1.42183,1.17385,7.1e-05,7.1e-05,7.1e-05
28,387.766,1.34386,1.12066,1.0374,0.44295,0.59884,0.51032,0.29007,1.58418,1.40341,1.17199,5.65437e-05,5.65437e-05,5.65437e-05
29,400.15,1.37314,1.14446,1.06552,0.44295,0.59884,0.51032,0.29007,1.58418,1.40341,1.17199,4.085e-05,4.085e-05,4.085e-05
30,412.728,1.39899,1.21095,1.03858,0.44364,0.58563,0.51139,0.28735,1.58423,1.3838,1.16979,2.39187e-05,2.39187e-05,2.39187e-05
