epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9756,1.22718,0.92708,0.96745,0.76091,0.79744,0.83038,0.52995,1.34545,0.97732,1.07079,2.5e-05,2.5e-05,2.5e-05
2,63.3307,1.16886,0.85138,0.95746,0.7154,0.78413,0.79621,0.48929,1.41788,1.09125,1.10985,5.43937e-05,5.43937e-05,5.43937e-05
3,90.786,1.1786,0.84816,0.97767,0.72653,0.75529,0.80998,0.52058,1.32204,1.08668,1.06899,8.1725e-05,8.1725e-05,8.1725e-05
4,118.156,1.18199,0.85118,0.94617,0.73395,0.76445,0.81834,0.52065,1.32464,1.07107,1.06631,0.000106994,0.000106994,0.000106994
5,144.7,1.1585,0.83466,0.95724,0.76014,0.75703,0.81977,0.50922,1.38274,1.0883,1.08671,0.0001302,0.0001302,0.0001302
6,171.4,1.15293,0.82172,0.95154,0.73137,0.79428,0.82684,0.52095,1.36222,1.07056,1.07803,0.000151344,0.000151344,0.000151344
7,198.852,1.15585,0.81826,0.96178,0.78954,0.74725,0.84218,0.53973,1.32327,1.03366,1.0579,0.000170425,0.000170425,0.000170425
8,225.836,1.18457,0.86424,0.94167,0.82489,0.75319,0.86089,0.55062,1.3306,0.97566,1.05931,0.000187444,0.000187444,0.000187444
9,252.445,1.17899,0.8202,0.96591,0.82479,0.77316,0.87633,0.56485,1.34173,0.92627,1.06097,0.0002024,0.0002024,0.0002024
10,279.181,1.17789,0.78073,0.9816,0.80324,0.81097,0.87145,0.55813,1.35561,0.94605,1.05962,0.000215294,0.000215294,0.000215294
11,306.256,1.17101,0.83181,0.96997,0.78051,0.83791,0.87438,0.56371,1.34714,0.94631,1.05793,0.000226125,0.000226125,0.000226125
12,334.168,1.19141,0.85075,0.96762,0.82657,0.78962,0.87599,0.56018,1.3409,0.95374,1.06648,0.000234894,0.000234894,0.000234894
13,362.322,1.18312,0.84449,0.96344,0.77889,0.8192,0.86498,0.55112,1.3438,0.96916,1.06835,0.0002416,0.0002416,0.0002416
14,390.212,1.167,0.79889,0.94948,0.70062,0.84047,0.85592,0.55402,1.31633,1.00709,1.05699,0.000246244,0.000246244,0.000246244
15,418.07,1.17764,0.82184,0.95978,0.73395,0.84324,0.87127,0.56427,1.30884,0.9759,1.05208,0.000248825,0.000248825,0.000248825
16,445.411,1.17945,0.81805,0.96114,0.79104,0.82351,0.87841,0.5712,1.30698,0.94989,1.05319,0.000249344,0.000249344,0.000249344
17,473.726,1.16757,0.77312,0.95728,0.81672,0.80093,0.87739,0.57156,1.31509,0.97193,1.05974,0.0002478,0.0002478,0.0002478
18,501.693,1.1744,0.80782,0.9706,0.80031,0.81489,0.88568,0.56973,1.31216,0.97686,1.05791,0.000244194,0.000244194,0.000244194
19,530.312,1.16546,0.79323,0.95895,0.8128,0.81081,0.88816,0.57384,1.31188,0.97661,1.05629,0.000238525,0.000238525,0.000238525
20,558.271,1.16443,0.78833,0.96541,0.77524,0.83529,0.88419,0.572,1.31232,0.98561,1.05732,0.000230794,0.000230794,0.000230794
21,584.322,1.16772,0.79656,0.98011,0.77664,0.83549,0.88744,0.57421,1.30691,0.9727,1.05358,0.0002125,0.0002125,0.0002125
22,610.269,1.12459,0.73536,0.97288,0.81988,0.79982,0.88956,0.57459,1.31075,0.96429,1.0506,0.000191875,0.000191875,0.000191875
23,636.269,1.12051,0.72511,0.973,0.82347,0.79131,0.88123,0.56788,1.33463,0.98481,1.05655,0.00017125,0.00017125,0.00017125
24,663.619,1.13685,0.74744,0.96192,0.85303,0.77877,0.87946,0.56765,1.32993,0.98729,1.05739,0.000150625,0.000150625,0.000150625
25,690.031,1.1144,0.71864,0.9761,0.84767,0.7804,0.88721,0.57525,1.31965,0.96212,1.05226,0.00013,0.00013,0.00013
26,716.249,1.13062,0.75663,0.9737,0.80886,0.81198,0.89102,0.57973,1.31614,0.94117,1.05175,0.000109375,0.000109375,0.000109375
27,742.49,1.11382,0.72164,0.95271,0.82206,0.80459,0.89136,0.58131,1.31329,0.93034,1.05193,8.875e-05,8.875e-05,8.875e-05
28,768.676,1.13053,0.71541,0.99843,0.79746,0.84048,0.89105,0.57904,1.30934,0.9214,1.05288,6.8125e-05,6.8125e-05,6.8125e-05
29,794.9,1.09866,0.6994,0.97106,0.80077,0.83234,0.89036,0.5786,1.30786,0.91413,1.05248,4.75e-05,4.75e-05,4.75e-05
30,822.121,1.08849,0.67508,0.95984,0.80224,0.83404,0.8897,0.57872,1.30742,0.91199,1.05256,2.6875e-05,2.6875e-05,2.6875e-05
